freq,Hx squint,Hy squint,Vx squint,Vy squint,Hx fwhm,Hy fwhm,Vx fwhm,Vy fwhm
MHz,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin
550,-0.15,2.46,-0.08,0.40,159.05,165.92,157.72,165.00
600,-0.00,0.93,-0.06,1.22,147.75,153.60,146.55,155.25
650,-0.02,1.18,0.00,0.43,135.71,139.61,133.70,141.99
700,0.06,0.14,-0.01,0.03,124.92,128.66,122.75,130.42
750,0.07,-0.13,-0.02,-0.16,115.48,118.02,113.03,121.01
800,0.08,-0.01,0.02,-0.81,106.78,110.47,105.56,111.64
850,-0.15,-0.61,0.01,-0.58,99.25,103.60,99.38,103.52
900,-1.12,-0.61,-0.01,-0.10,93.46,97.88,93.96,97.68
950,-1.50,-0.80,-0.09,0.15,89.67,93.10,89.45,93.52
1000,-0.58,-0.83,-0.14,-0.47,87.38,88.87,85.55,90.83
1050,0.32,-0.43,-0.08,-0.72,86.10,85.16,82.32,88.15
